"__mclCluster","EnrichmentMap::Colouring (scat_u_en_2)","EnrichmentMap::ES (scat_u_en_2)","EnrichmentMap::fdr_qvalue (scat_u_en_2)","EnrichmentMap::fwer_qvalue (scat_u_en_2)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (scat_u_en_2)","EnrichmentMap::pvalue (scat_u_en_2)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1","0.9999991784125022",,"8.215874977645467E-7",,"REG3G|SFRP5|SERPINE1|LEP|APOH|PTH|CELA1|THBS1|CXCL14|NOG|PLG|HRG|GDNF|GPC1|SEMA3F|FGF9|BMP2|CRYAB|ALB|DKK4|KNG1|BMP6|TNN|BPIFA1|FGF21|AGR2|SFRP1|MYOC|BPIFB1|ANXA1|SMPDL3B|SLIT1|SLIT3|KNG2|REG1|VEGFC|LGALS1|FSTL4|GSN|OLFM4|BCHE|NENF|BMP10|ENPP3|TNR|CEMIP|WNT9A|FGF2|SEMA3G|SPOCK1|MAPT|SPACA7|ARG1|CCN1|SERPINE2|BMP4|TEX101|WNT11|BMP5|WNT5B|APP|COMP|FBP1|PKHD1|INHBA|VEGFB|HBEGF|NGF|CCL11|CDSN|TULP3|WNT5A|NTN1|LTBP3|ANXA2|FBLN5|TIMP4|FSTL3|HAMP|PRL3C1|DKKL1|ADAMTSL2|FGB|WFIKKN2|INHBB|BTC|WIF1|PDGFA|PDGFB|TIMP3","negative regulation of cellular process","90","ENR","GO:0048523","1.0","8.215874977645467E-7","Cluster 1","Clustered","95.70031326139923","GO:0048523","false","GO:0048523"
"1","0.9680571068260879",,"0.0319428931739121",,"PGF|VEGFC|VEGFB","positive regulation of mast cell chemotaxis","3","ENR","GO:0060754","1.0","0.0319428931739121","Cluster 2","Clustered","78.69608062709966","GO:0060754","false","GO:0060754"
"1","0.9999999999913333",,"8.666689667060637E-12",,"SERPINE1|SERPINF2|SERPINA1D|AMBP|THBS1|SERPINA9|SERPINA1F|ITIH1|R3HDML|HRG|FETUB|ITIH5|ITIH2|WAP|BMP2|CRYAB|KNG1|WFDC9|SFRP1|ANXA1|TIMP4|KNG2|WFDC13|WNT9A|SPOCK1|MAPT|WFIKKN2|SERPINE2|BMP4|PZP|MUG1|APP","negative regulation of catalytic activity","32","ENR","GO:0043086","1.0","8.666689667060637E-12","Cluster 4","Clustered","28.93763440860215","GO:0043086","false","GO:0043086"
"1","0.9991099475887718",,"8.900524112282351E-4",,"PLA2G5|C1QTNF9|APOA5|LEP|APOH|PTH|THBS1|HBEGF|NGF|FGF1|CCL11|GDNF|CCL24|CCK|BMP2|WNT5A|PDGFC|VEGFC|GSN|CEMIP|CCL1|FGF2|EPHB6|CCN1|BTC|PDGFA|WNT11|PDGFB|IL34|APP","positive regulation of catalytic activity","30","ENR","GO:0043085","1.0","8.900524112282351E-4","Cluster 1","Clustered","96.16187621230823","GO:0043085","false","GO:0043085"
"1","0.9999999710257497",,"2.8974250325451746E-8",,"FBP1|SLIT1|SLIT3|HAMP|REG1|INHBA|FSTL4|HBEGF|NGF|HRG|BMP10|TNR|OLFM1|SEMA3F|IGFBP4|SEMA3G|MAPT|WNT5A|CRYAB|NTN1|SERPINE2|WNT11|FBLN5|SFRP1","regulation of cell growth","24","ENR","GO:0001558","1.0","2.8974250325451746E-8","Cluster 2","Clustered","74.03026741110784","GO:0001558","false","GO:0001558"
"1","0.9998776466713439",,"1.2235332865606716E-4",,"FGF2|FGF9|VEGFC|WNT5A|LTBP3|BMP4|CXCL1|NGF","positive regulation of stem cell proliferation","8","ENR","GO:2000648","1.0","1.2235332865606716E-4","Cluster 2","Clustered","79.9244126659857","GO:2000648","false","GO:2000648"
"1","0.9946124521697111",,"0.00538754783028899",,"FGF2|FGF9|BMP2|SERPINF2|THBS1|ADAMTS1|BMP4|NOG|PDGFB|HBEGF|FGF1|BMP10","muscle cell proliferation","12","ENR","GO:0033002","1.0","0.00538754783028899","Cluster 1","Clustered","105.40903638544582","GO:0033002","false","GO:0033002"
"1","0.9999992445765448",,"7.55423455242365E-7",,"LAMA5|COL15A1|ADAMTS5|PLG|MMP24|LAMB3|MATN3|COL4A2|LOX|FBLN2|BMP2|LTBP3|TNN|FBLN5|LAMB2|KLKB1|MMP13|BMP10|TNR|FGB|FGF2|LTBP4|NID2|BMP4|LAMA3|APP|COMP|BGN","Extracellular matrix organization","28","ENR","REAC:R-MMU-1474244","1.0","7.55423455242365E-7","Cluster 9","Clustered","15.00952380952381","REAC:R-MMU-1474244","false","REAC:R-MMU-1474244"
"1","0.9999999999995406",,"4.593701429945108E-13",,"REG3G|SFRP5|LEP|APOH|PTH|SERPINF2|CELA1|THBS1|NOG|BGLAP2|HRG|FGF1|GDNF|CCK|FGF9|BMP2|BMP6|TNN|FGF21|SFRP1|ANXA1|SLIT3|REG1|VEGFC|ADAMTS1|BCHE|BMP10|ENPP3|FGF5|WNT9A|FGF2|ARG1|EPHB6|CCN1|SERPINE2|BMP4|WNT11|BMP5|APP|COMP|LAMA5|PGF|PKHD1|INHBA|VEGFB|HBEGF|NGF|CCL11|CCL24|WNT5A|NTN1|LTBP3|ANXA2|PDGFC|FBLN5|ENPP2|IFNA9|PRL3C1|CXCL1|IGFBP4|BTC|PDGFA|PDGFB|IL34|MUP20","cell population proliferation","65","ENR","GO:0008283","1.0","4.593701429945108E-13","Cluster 1","Clustered","104.38088109495295","GO:0008283","false","GO:0008283"
"1","0.9999999750065471",,"2.4993452842976804E-8",,"LAMA5|MGP|EDA|BAG6|NOG|FGF1|ADAMTSL2|LOX|FGF2|TULP3|CCBE1|FGF9|ARG1|WNT5A|LTBP3|BMP4|WNT11|AGR2|CRISPLD2","respiratory system development","19","ENR","GO:0060541","1.0","2.4993452842976804E-8","Cluster 2","Clustered","72.59720869847452","GO:0060541","false","GO:0060541"
"1","0.9992193832334315",,"7.806167665684897E-4",,"SFRP5|SLIT3|REG1|INHBA|APOH|PRL3C1|THBS1|NOG|BCHE|HRG|ENPP3|WNT9A|FGF2|BMP2|ARG1|WNT5A|SERPINE2|BMP4|TNN|WNT11|BMP5|SFRP1|APP","negative regulation of cell population proliferation","23","ENR","GO:0008285","1.0","7.806167665684897E-4","Cluster 2","Clustered","83.82772323515661","GO:0008285","false","GO:0008285"
